STATE,LAW ENFORCEMENT AGENCY,TYPE,COUNTY,SUPPORT TYPE,SIGNED,MOA
ALABAMA,Elmore County Sheriff's Office,County,Elmore County,Jail Enforcement Model,2025-03-17,link
ALABAMA,Etowah County Sheriff's Office,County,Etowah County,Jail Enforcement Model,2020-06-09,link
ALABAMA,Franklin County Sheriff's Office,County,Franklin County,Task Force Model,2025-03-25,link
ALABAMA,Franklin County Sheriff's Office,County,Franklin County,Warrant Service Officer,2025-03-27,link
ALABAMA,Henry County Sheriff's Office,County,Henry County,Jail Enforcement Model,2025-03-17,link
ALABAMA,Henry County Sheriff's Office,County,Henry County,Warrant Service Officer,2025-03-17,link
ALASKA,Alaska Department of Corrections,State Agency,,Warrant Service Officer,2020-07-24,link
ALASKA,Kodiak Police Department,Municipality,,Warrant Service Officer,2020-07-20,link
ARIZONA,Arizona Department of Corrections,State Agency,,Jail Enforcement Model,2020-06-16,link
ARIZONA,La Paz County Sheriff's Office,County,La Paz County,Warrant Service Officer,2020-02-27,link
ARIZONA,La Paz County Sheriff's Office,County,La Paz County,Jail Enforcement Model,2020-03-12,link
ARIZONA,Mesa Police Department,Municipality,,Jail Enforcement Model,2020-06-08,link
ARIZONA,Pinal County Sheriff's Office,County,Pinal County,Jail Enforcement Model,2020-06-09,link
ARIZONA,Yavapai County Sheriff's Office,County,Yavapai County,Jail Enforcement Model,2020-06-09,link
ARKANSAS,Benton County Sheriff's Office,County,Benton County,Jail Enforcement Model,2020-06-30,link
ARKANSAS,Craighead County Sheriff's Office,County,Craighead County,Jail Enforcement Model,2020-06-18,link
COLORADO,Teller County Sheriff's Office,County,Teller County,Jail Enforcement Model,2020-06-08,link
FLORIDA,Alachua County Sheriff's Office,County,Alachua County,Warrant Service Officer,2025-02-24,link
FLORIDA,Alachua County Sheriff's Office,County,Alachua County,Task Force Model,2025-02-26,link
FLORIDA,Arcadia Police Department,Municipality,,Task Force Model,2025-03-05,link pending 
FLORIDA,Baker County Sheriff's Office,County,Baker County,Warrant Service Officer,2019-10-15,link
FLORIDA,Baker County Sheriff's Office,County,Baker County,Task Force Model,2025-02-26,link pending
FLORIDA,Bay County Sheriff's Office,County,Bay County,Warrant Service Officer,2019-10-15,link
FLORIDA,Bay County Sheriff's Office,County,Bay County ,Task Force Model,2025-02-26,link pending
FLORIDA,Belleair Police Department,Municipality,,Task Force Model,2025-02-28,link
FLORIDA,Blountstown Police Department,Municipality,,Task Force Model,2025-03-05,link
FLORIDA,Boca Raton Police Department,Municipality,,Task Force Model,2025-03-25,link
FLORIDA,Bradenton Police Department,Municipality,,Task Force Model,2025-03-25,link
FLORIDA,Bradford County Sheriff's Office,County,Bradford County ,Warrant Service Officer,2019-10-15,link
FLORIDA,Bradford County Sheriff's Office,County,Bradford County ,Task Force Model,2025-02-26,link pending
FLORIDA,Brevard County Sheriff's Office,County,Brevard County ,Warrant Service Officer,2019-05-06,link
FLORIDA,Brevard County Sheriff's Office,County,Brevard County ,Task Force Model,2025-02-24,link
FLORIDA,Broward County Sheriff's Office,County,Broward County ,Warrant Service Officer,2019-09-09,link
FLORIDA,Broward County Sheriff's Office,County,Broward County ,Task Force Model,2025-02-26,link pending
FLORIDA,Calhoun County Sheriff's Office,County,Calhoun County ,Warrant Service Officer,2019-09-09,link
FLORIDA,Calhoun County Sheriff's Office,County,Calhoun County ,Task Force Model,2025-02-26,link pending
FLORIDA,Charlotte County Sheriff's Office,County,Charlotte County ,Warrant Service Officer,2019-05-06,link
FLORIDA,Charlotte County Sheriff's Office,County,Charlotte County ,Task Force Model,2025-02-26,link
FLORIDA,Chattahoochee Police Department,Municipality,,Task Force Model,2025-02-28,link
FLORIDA,Citrus County Sheriff's Office,County,Citrus County ,Warrant Service Officer,2025-02-26,link
FLORIDA,Citrus County Sheriff's Office,County,Citrus County ,Task Force Model,2025-02-26,link
FLORIDA,Clay County Sheriff's Office,County,Clay County ,Jail Enforcement Model,2020-03-11,link
FLORIDA,Clay County Sheriff's Office,County,Clay County ,Warrant Service Officer,2025-02-24,link
FLORIDA,Clay County Sheriff's Office,County,Clay County ,Task Force Model,2025-02-26,link
FLORIDA,Clearwater Police Department,Municipality,,Task Force Model,2025-02-28,link
FLORIDA,Clermont Police Department,Municipality,,Task Force Model,2025-03-05,link
FLORIDA,Cocoa Beach Police Department,Municipality,,Task Force Model,2025-03-25,link
